id,label,center_x,center_y,rotation_degrees,long_axis_angle_degrees,width,height
path682,,102.8919,72.524887,,,,
path682-3,,99.6661,112.45807,,,,
path682-9,,81.646118,148.49805,,,,
path682-4,,67.408096,289.20966,,,,
path682-6,,114.34905,369.40973,,,,
path682-5,,164.96075,329.69904,,,,
path682-1,,201.00072,374.97147,,,,
path682-2,,207.89726,250.05513,,,,
path682-0,,261.73474,166.18433,,,,
path682-8,,194.99406,67.964272,,,,
path682-14,,352.94702,85.316856,,,,
path682-53,,515.68311,129.03201,,,,
path682-57,,424.24835,173.5258,,,,
path682-7,,397.21835,234.37106,,,,
path682-35,,412.23502,273.74808,,,,
path682-21,,473.97015,278.41992,,,,
path682-37,,536.48395,311.01163,,,,
path682-20,,457.50745,340.93372,,,,
path682-70,,395.32736,333.59222,,,,
path682-66,,405.56094,397.88577,,,,
path682-26,,433.70328,427.91907,,,,
path682-667,,499.88779,424.47079,,,,
path682-30,,571.52283,337.48544,,,,
path682-77,,619.79858,298.10843,,,,
path682-56,,664.84851,250.94501,,,,
path682-79,,637.70734,346.38419,,,,
path682-08,,655.83856,460.28833,,,,
path682-55,,506.06409,220.23305,,,,
path682-01,,599.82043,217.55879,,,,
path682-02,,659.9126,183.26535,,,,
path682-87,,702.38611,132.76907,,,,
path682-64,,652.36176,88.093224,,,,
path682-13,,588.33685,148.5,,,,
path682-51,,295.99496,278.19745,,,,
path682-83,,288.43103,344.27075,,,,
path682-41,,280.42215,408.11932,,,,
